# Bischoff & Ratcliff container-loading instance BR18-45, converted from
# BR/BR18/45.json (kcliu2/CLP-Datasets on GitHub).
# Source: Liu, C., Smith-Miles, K., Wauters, T. & Costa, A.M. (2025), Computers & Operations Research 182:107111.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 135 (130 distinct types)
# Total profit if all packed: 30035371
# Total box volume: 30035371   Container volume: 30089620   (ratio 0.998)

BOXES
1 1 63 55 31 1
2 1 120 43 23 1
3 1 97 72 57 1
4 1 77 76 42 1
5 1 93 74 20 1
6 1 65 63 43 1
7 1 108 71 40 1
8 1 79 36 21 1
9 1 68 62 26 1
10 1 68 50 40 1
11 1 79 42 31 1
12 2 76 56 38 1
13 1 80 79 51 1
14 1 115 69 29 1
15 1 113 50 30 1
16 1 96 90 22 1
17 1 60 41 26 1
18 1 118 93 36 1
19 1 80 72 33 1
20 1 98 96 76 1
21 1 91 65 40 1
22 1 76 54 54 1
23 1 84 75 61 1
24 1 87 50 25 1
25 1 104 27 24 1
26 1 94 79 78 1
27 1 116 44 34 1
28 1 96 91 45 1
29 1 84 55 40 1
30 1 87 71 50 1
31 1 54 32 27 1
32 1 85 53 38 1
33 1 114 79 72 1
34 1 75 57 55 1
35 1 69 43 32 1
36 1 71 58 25 1
37 1 120 82 27 1
38 1 79 72 66 1
39 1 58 46 46 1
40 1 90 84 47 1
41 1 63 59 38 1
42 2 86 55 50 1
43 1 56 41 24 1
44 1 107 42 30 1
45 1 92 78 48 1
46 1 77 54 39 1
47 1 116 68 47 1
48 1 49 44 39 1
49 1 100 84 41 1
50 1 63 59 53 1
51 1 97 58 45 1
52 1 92 68 55 1
53 1 75 42 41 1
54 1 102 40 39 1
55 1 78 57 52 1
56 1 83 51 41 1
57 1 84 70 33 1
58 1 80 42 32 1
59 1 98 50 44 1
60 1 104 70 32 1
61 1 110 48 23 1
62 2 118 95 35 1
63 1 104 86 43 1
64 1 77 41 30 1
65 1 120 62 31 1
66 1 71 51 46 1
67 1 70 32 30 1
68 1 119 33 26 1
69 1 85 68 51 1
70 1 71 58 47 1
71 1 106 66 24 1
72 1 106 99 23 1
73 1 119 68 51 1
74 1 70 38 36 1
75 1 96 73 34 1
76 1 102 41 40 1
77 1 52 44 25 1
78 1 82 63 49 1
79 1 95 81 52 1
80 1 106 69 39 1
81 1 95 68 22 1
82 1 95 92 61 1
83 1 48 43 22 1
84 1 72 46 26 1
85 1 108 57 55 1
86 1 101 52 32 1
87 1 95 94 70 1
88 1 93 71 67 1
89 2 109 89 69 1
90 1 84 72 20 1
91 1 78 32 28 1
92 1 97 86 47 1
93 1 81 56 34 1
94 1 69 55 25 1
95 1 80 54 48 1
96 1 73 52 39 1
97 1 56 55 47 1
98 1 74 56 37 1
99 1 68 64 46 1
100 1 108 59 34 1
101 1 62 30 27 1
102 1 61 60 49 1
103 1 109 80 26 1
104 1 92 44 38 1
105 1 56 53 20 1
106 1 87 66 56 1
107 1 61 60 32 1
108 1 85 48 39 1
109 1 86 28 26 1
110 1 68 31 22 1
111 1 79 60 34 1
112 1 116 59 55 1
113 1 72 71 56 1
114 1 96 44 38 1
115 1 113 49 40 1
116 1 78 47 27 1
117 1 114 60 45 1
118 2 89 82 80 1
119 1 82 36 27 1
120 1 67 42 24 1
121 1 97 66 45 1
122 1 97 43 42 1
123 1 56 44 33 1
124 1 101 53 33 1
125 1 65 46 39 1
126 1 58 46 22 1
127 1 94 55 44 1
128 1 92 78 20 1
129 1 117 36 20 1
130 1 72 53 20 1
CONTAINERS
1 1 587 220 233
