# Bischoff & Ratcliff container-loading instance BR7-99, converted from
# BR/BR7/99.json (kcliu2/CLP-Datasets on GitHub).
# Source: Bischoff, E.E. & Ratcliff, M.S.W. (1995), Omega 23(4):377-390.
# Dataset repository: https://github.com/kcliu2/CLP-Datasets
#
# Single-container 3D knapsack: one container, boxes carry explicit profits.
# Format: BOXES rows      = type_id count length width height value_coefficient
#         CONTAINERS rows = type_id count length width height
#
# The value_coefficient column is 1 for every box type: the original CLP
# objective (maximize packed volume) is already encoded as profit = volume
# in the source data (Value == Length*Height*Depth for every box type here).
# Run these instances under the default --value-mode volume.
#! value-mode: volume
#
# CAUTION - orientation constraints dropped in this conversion: the source
# data restricts, per box type, which of its 3 axes may be placed vertical
# (fields C1_Length/C1_Height/C1_Depth in the source JSON -- 1 = that axis
# may be vertical, 0 = may not). This solver's BOXES row format has no field
# to carry that restriction, and the solver always tries all 6 axis-aligned
# orientations for every box. These converted instances therefore solve the
# FREE-ROTATION relaxation of the true BR benchmark (partial orientation
# restriction). Expect equal-or-better packed volume than published results
# that enforce the restriction; the two are not directly comparable.
#
# Boxes: 145 (20 distinct types)
# Total profit if all packed: 29837699
# Total box volume: 29837699   Container volume: 30089620   (ratio 0.992)

BOXES
1 9 51 46 44 1
2 12 95 92 47 1
3 9 116 39 23 1
4 5 51 37 32 1
5 8 117 44 38 1
6 7 103 89 73 1
7 8 73 55 54 1
8 5 116 98 40 1
9 5 62 48 22 1
10 9 106 38 30 1
11 8 100 40 32 1
12 8 87 53 26 1
13 9 57 35 35 1
14 5 80 75 75 1
15 6 111 88 32 1
16 6 109 42 29 1
17 7 49 35 29 1
18 4 92 65 23 1
19 8 112 32 30 1
20 7 94 90 30 1
CONTAINERS
1 1 587 220 233
